,nome_municipio_destino,lon_destino,lat_destino,origem,destino,total_casamentos,ano,lon_origem,lat_origem
0,Adolfo,-49.65328677768803,-21.28867905893497,3550308,3500204,1,2021,-46.64801282472266,-23.649919671153047
1,Águas de Lindóia,-46.60367121178706,-22.474822787904962,3550308,3500501,2,2021,-46.64801282472266,-23.649919671153047
2,Agudos,-49.108620124226654,-22.57195139685291,3550308,3500709,1,2021,-46.64801282472266,-23.649919671153047
3,Americana,-47.2891188408492,-22.723246167383053,3550308,3501608,5,2021,-46.64801282472266,-23.649919671153047
4,Amparo,-46.79874372233874,-22.69909727482371,3550308,3501905,2,2021,-46.64801282472266,-23.649919671153047
5,Apiaí,-48.81743047885114,-24.42150155303093,3550308,3502705,1,2021,-46.64801282472266,-23.649919671153047
6,Araçariguama,-47.07238162450464,-23.434425406359992,3550308,3502754,1,2021,-46.64801282472266,-23.649919671153047
7,Araçatuba,-50.574693106706164,-21.11370930039772,3550308,3502804,1,2021,-46.64801282472266,-23.649919671153047
8,Araraquara,-48.18137400687025,-21.7916223231822,3550308,3503208,3,2021,-46.64801282472266,-23.649919671153047
9,Araras,-47.32386422773424,-22.346150774958648,3550308,3503307,2,2021,-46.64801282472266,-23.649919671153047
10,Artur Nogueira,-47.132152226817894,-22.561197992933376,3550308,3503802,2,2021,-46.64801282472266,-23.649919671153047
11,Arujá,-46.319053390163845,-23.386015536859134,3550308,3503901,28,2021,-46.64801282472266,-23.649919671153047
12,Assis,-50.42075080213832,-22.601730011403326,3550308,3504008,2,2021,-46.64801282472266,-23.649919671153047
13,Atibaia,-46.58677388754247,-23.12324348170109,3550308,3504107,15,2021,-46.64801282472266,-23.649919671153047
14,Avaré,-48.8940478058122,-23.075094130613078,3550308,3504503,1,2021,-46.64801282472266,-23.649919671153047
15,Barão de Antonina,-49.571968765532176,-23.582894115974945,3550308,3505005,1,2021,-46.64801282472266,-23.649919671153047
16,Barra do Turvo,-48.426995896075965,-24.88868929415687,3550308,3505401,1,2021,-46.64801282472266,-23.649919671153047
17,Barretos,-48.65195782034379,-20.514148159791702,3550308,3505500,1,2021,-46.64801282472266,-23.649919671153047
18,Barueri,-46.87725087744116,-23.505281812372544,3550308,3505708,30,2021,-46.64801282472266,-23.649919671153047
19,Bauru,-49.12616934206203,-22.25395510503004,3550308,3506003,2,2021,-46.64801282472266,-23.649919671153047
