;cod_municipio;nome_municipio;regiao_administrativa;regiao_metropolitana;habitantes;PIB;nascidos_vivos
0;3500105;Adamantina;Região Administrativa de Presidente Prudente;Outros municípios do Estado de São Paulo;33869;R$ 1.256.561.606;131.0
1;3500204;Adolfo;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;3436;R$ 136.701.363;20.0
2;3500303;Aguaí;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;35885;R$ 1.152.443.311;120.0
3;3500402;Águas da Prata;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;7807;R$ 186.768.100;20.0
4;3500501;Águas de Lindóia;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;18438;R$ 496.876.915;82.0
5;3500550;Águas de Santa Bárbara;Região Administrativa de Sorocaba;Outros municípios do Estado de São Paulo;5957;R$ 200.526.489;31.0
6;3500600;Águas de São Pedro;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;3144;R$ 137.976.387;12.0
7;3500709;Agudos;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;36255;R$ 2.311.348.096;157.0
8;3500758;Alambari;Região Administrativa de Sorocaba;Região Metropolitana de Sorocaba;5856;R$ 121.555.881;27.0
9;3500808;Alfredo Marcondes;Região Administrativa de Presidente Prudente;Outros municípios do Estado de São Paulo;3924;R$ 109.884.835;21.0
10;3500907;Altair;Região Administrativa de Barretos;Outros municípios do Estado de São Paulo;4052;R$ 111.679.064;12.0
11;3501004;Altinópolis;Região Administrativa de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;15547;R$ 651.335.252;37.0
12;3501103;Alto Alegre;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;4006;R$ 116.811.844;8.0
13;3501152;Alumínio;Região Administrativa de Sorocaba;Região Metropolitana de Sorocaba;18069;R$ 2.251.140.966;78.0
14;3501202;Álvares Florence;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;3596;R$ 112.147.987;13.0
15;3501301;Álvares Machado;Região Administrativa de Presidente Prudente;Outros municípios do Estado de São Paulo;23828;R$ 614.914.747;107.0
16;3501400;Álvaro de Carvalho;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;5079;R$ 53.333.113;7.0
17;3501509;Alvinlândia;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;3190;R$ 57.585.363;15.0
18;3501608;Americana;Região Administrativa de Campinas;Região Metropolitana de Campinas;235075;R$ 12.078.626.874;811.0
19;3501707;Américo Brasiliense;Região Administrativa Central;Outros municípios do Estado de São Paulo;40676;R$ 1.095.798.527;140.0
20;3501806;Américo de Campos;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;5730;R$ 109.144.600;18.0
21;3501905;Amparo;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;69861;R$ 4.616.533.222;249.0
22;3502002;Analândia;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;4895;R$ 195.982.928;16.0
23;3502101;Andradina;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;56087;R$ 2.673.256.245;213.0
24;3502200;Angatuba;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;24697;R$ 1.320.266.583;136.0
25;3502309;Anhembi;Região Administrativa de Sorocaba;Outros municípios do Estado de São Paulo;6755;R$ 155.148.324;20.0
26;3502408;Anhumas;Região Administrativa de Presidente Prudente;Outros municípios do Estado de São Paulo;3983;R$ 82.951.812;14.0
27;3502507;Aparecida;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;35744;R$ 984.473.932;131.0
28;3502606;Aparecida d'Oeste;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;4105;R$ 155.886.941;12.0
29;3502705;Apiaí;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;24711;R$ 719.086.882;89.0
30;3502754;Araçariguama;Região Administrativa de Sorocaba;Região Metropolitana de Sorocaba;21289;R$ 3.218.901.682;97.0
31;3502804;Araçatuba;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;190921;R$ 8.304.184.164;706.0
32;3502903;Araçoiaba da Serra;Região Administrativa de Sorocaba;Região Metropolitana de Sorocaba;32846;R$ 976.126.384;129.0
33;3503000;Aramina;Região Administrativa de Franca;Outros municípios do Estado de São Paulo;5515;R$ 155.702.321;19.0
34;3503109;Arandu;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;6168;R$ 182.645.594;30.0
35;3503158;Arapeí;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;2469;R$ 39.882.786;5.0
36;3503208;Araraquara;Região Administrativa Central;Outros municípios do Estado de São Paulo;228792;R$ 10.680.812.997;930.0
37;3503307;Araras;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;131931;R$ 6.474.427.590;498.0
38;3503356;Arco-Íris;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;1806;R$ 84.062.627;5.0
39;3503406;Arealva;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;8223;R$ 244.287.968;32.0
40;3503505;Areias;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;3860;R$ 56.804.272;24.0
41;3503604;Areiópolis;Região Administrativa de Sorocaba;Outros municípios do Estado de São Paulo;10900;R$ 147.089.286;32.0
42;3503703;Ariranha;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;9378;R$ 968.334.144;28.0
43;3503802;Artur Nogueira;Região Administrativa de Campinas;Região Metropolitana de Campinas;53224;R$ 1.477.690.002;212.0
44;3503901;Arujá;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;90958;R$ 7.633.056.192;431.0
45;3503950;Aspásia;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;1760;R$ 40.018.733;7.0
46;3504008;Assis;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;101825;R$ 3.734.329.858;341.0
47;3504107;Atibaia;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;140589;R$ 7.412.329.939;677.0
48;3504206;Auriflama;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;14478;R$ 325.250.452;49.0
49;3504305;Avaí;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;5314;R$ 395.872.958;26.0
50;3504404;Avanhandava;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;12188;R$ 491.139.121;44.0
51;3504503;Avaré;Região Administrativa de Sorocaba;Outros municípios do Estado de São Paulo;87854;R$ 2.818.750.893;401.0
52;3504602;Bady Bassitt;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;16441;R$ 466.219.023;107.0
53;3504701;Balbinos;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;3707;R$ 61.962.408;4.0
54;3504800;Bálsamo;Região Administrativa de São José do Rio Preto;Outros municípios do Estado de São Paulo;8542;R$ 246.986.061;19.0
55;3504909;Bananal;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;10691;R$ 203.899.739;17.0
56;3505005;Barão de Antonina;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;3407;R$ 69.024.444;9.0
57;3505104;Barbosa;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;7345;R$ 119.432.090;17.0
58;3505203;Bariri;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;34180;R$ 1.369.293.843;132.0
59;3505302;Barra Bonita;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;34864;R$ 1.374.943.656;133.0
60;3505351;Barra do Chapéu;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;5561;R$ 143.899.512;27.0
61;3505401;Barra do Turvo;Região Administrativa de Registro;Outros municípios do Estado de São Paulo;7709;R$ 109.166.141;27.0
62;3505500;Barretos;Região Administrativa de Barretos;Outros municípios do Estado de São Paulo;118419;R$ 4.989.612.998;510.0
63;3505609;Barrinha;Região Administrativa de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;32658;R$ 553.730.471;144.0
64;3505708;Barueri;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;266236;R$ 51.254.571.962;1.733
65;3505807;Bastos;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;20296;R$ 978.295.698;94.0
66;3505906;Batatais;Região Administrativa de Franca;Região Metropolitana de Ribeirão Preto;60502;R$ 2.085.830.301;238.0
67;3506003;Bauru;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;365523;R$ 15.180.212.056;1.486
68;3506102;Bebedouro;Região Administrativa de Barretos;Outros municípios do Estado de São Paulo;73969;R$ 3.218.916.367;287.0
69;3506201;Bento de Abreu;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;2966;R$ 208.534.641;10.0
70;3506300;Bernardino de Campos;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;10793;R$ 301.522.163;29.0
71;3506359;Bertioga;Região Administrativa de Santos;Região Metropolitana da Baixada Santista;64526;R$ 1.905.000.150;333.0
72;3506409;Bilac;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;7855;R$ 267.898.583;15.0
73;3506508;Birigui;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;122161;R$ 3.669.342.865;432.0
74;3506607;Biritiba-Mirim;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;32683;R$ 995.303.880;112.0
75;3506706;Boa Esperança do Sul;Região Administrativa Central;Outros municípios do Estado de São Paulo;14658;R$ 362.180.102;67.0
76;3506805;Bocaina;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;12243;R$ 236.357.656;43.0
77;3506904;Bofete;Região Administrativa de Sorocaba;Outros municípios do Estado de São Paulo;11194;R$ 204.906.014;44.0
78;3507001;Boituva;Região Administrativa de Sorocaba;Região Metropolitana de Sorocaba;57987;R$ 2.985.664.148;256.0
79;3507100;Bom Jesus dos Perdões;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;24625;R$ 1.089.688.388;95.0
80;3507159;Bom Sucesso de Itararé;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;3894;R$ 65.301.329;23.0
81;3507209;Borá;Região Administrativa de Marília;Outros municípios do Estado de São Paulo;811;R$ 68.381.873;1.0
82;3507308;Boracéia;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;4798;R$ 448.990.318;27.0
83;3507407;Borborema;Região Administrativa Central;Outros municípios do Estado de São Paulo;15370;R$ 467.279.720;30.0
84;3507456;Borebi;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;2602;R$ 68.326.906;13.0
85;3507506;Botucatu;Região Administrativa de Sorocaba;Outros municípios do Estado de São Paulo;142092;R$ 5.089.448.838;570.0
86;3507605;Bragança Paulista;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;165241;R$ 6.791.315.052;672.0
87;3507704;Braúna;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;5593;R$ 115.759.805;28.0
88;3507753;Brejo Alegre;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;2780;R$ 60.572.946;7.0
89;3507803;Brodowski;Região Administrativa de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;24132;R$ 805.025.937;106.0
90;3507902;Brotas;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;24039;R$ 1.019.895.410;117.0
91;3508009;Buri;Região Administrativa de Itapeva;Outros municípios do Estado de São Paulo;19819;R$ 666.565.575;92.0
92;3508108;Buritama;Região Administrativa de Araçatuba;Outros municípios do Estado de São Paulo;16673;R$ 712.089.369;59.0
93;3508207;Buritizal;Região Administrativa de Franca;Outros municípios do Estado de São Paulo;4323;R$ 233.930.240;13.0
94;3508306;Cabrália Paulista;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;4306;R$ 81.929.480;14.0
95;3508405;Cabreúva;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;50112;R$ 5.258.401.575;209.0
96;3508504;Caçapava;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;91646;R$ 4.562.951.102;392.0
97;3508603;Cachoeira Paulista;Região Administrativa de São José dos Campos;Região Metropolitana do Vale do Paraíba e Litoral Norte;32381;R$ 635.940.220;125.0
98;3508702;Caconde;Região Administrativa de Campinas;Outros municípios do Estado de São Paulo;18893;R$ 477.006.124;69.0
99;3508801;Cafelândia;Região Administrativa de Bauru;Outros municípios do Estado de São Paulo;17286;R$ 614.590.060;74.0
100;3508900;Caiabu;Região Administrativa de Presidente Prudente;Outros municípios do Estado de São Paulo;4104;R$ 67.985.490;16.0
101;3509007;Caieiras;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;101748;R$ 4.010.644.151;416.0
102;3509106;Caiuá;Região Administrativa de Presidente Prudente;Outros municípios do Estado de São Paulo;5642;R$ 88.898.533;14.0
103;3509205;Cajamar;Região Metropolitana de São Paulo;Região Metropolitana de São Paulo;78786;R$ 20.798.646.107;452.0
104;3509254;Cajati;Região Administrativa de Registro;Outros municípios do Estado de São Paulo;29116;R$ 1.594.151.938;119.0
105;3509304;Cajobi;Região Administrativa de Barretos;Outros municípios do Estado de São Paulo;10124;R$ 171.372.573;29.0
106;3509403;Cajuru;Região Administrativa de Ribeirão Preto;Região Metropolitana de Ribeirão Preto;25850;R$ 691.971.958;101.0
